id,title,description,creator,year,completeness,country,dataProvider,edmPreview,imageWidth,imageHeight,type
/22/_99223,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099223_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99225,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099225_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99231,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099231_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99240,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099240_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99241,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099241_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99248,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099248_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99249,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099249_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99250,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099250_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99217,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099217_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99218,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099218_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99227,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099227_01.jpg&type=IMAGE,0,0,IMAGE
