path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-39.jpg,0.7926297187805176,tzigara,0.0,,400.0,487.0,0.8214,0.0,64.0,11.22,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-7.jpg,0.5428261160850525,tzigara,0.0,,357.0,500.0,0.714,0.0,65.0,1.43,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-54.jpg,1.0606675148010254,tzigara,0.0,,400.0,305.0,1.3115,0.0,65.0,0.2,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-86.jpg,0.8273482918739319,tzigara,0.5,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud), fotografie",400.0,300.0,1.3333,0.0,69.0,1.2,245.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-79.jpg,1.033355474472046,tzigara,0.0,,400.0,439.0,0.9112,0.0,65.0,76.64,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-39.jpg,0.8436954617500305,tzigara,0.0,,400.0,414.0,0.9662,0.0,63.0,21.69,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-57.jpg,0.5493301153182983,tzigara,0.0,,347.0,500.0,0.694,0.0,60.0,54.15,243.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-60.jpg,0.7390676140785217,tzigara,0.0,,400.0,291.0,1.3746,0.0,65.0,1.45,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-18.jpg,0.6753456592559814,tzigara,0.0,,400.0,297.0,1.3468,0.0,66.0,0.87,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-66.jpg,0.8162854909896851,tzigara,0.0,,400.0,319.0,1.2539,0.0,63.0,2.22,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-81.jpg,0.6365211009979248,tzigara,0.0,,400.0,272.0,1.4706,0.0,66.0,0.25,255.0
